FACILITY,FADDR1,FCITY,FSTATE,FZIP,FPHONE,FCOUNTY,STYPE,SADDR,SCITY,SSTATE,SZIP,LICENSEE,LICNO,PENDING,FID,CLOSED,TERMINATED,HCACAT,HOSCAT,NPCAT,NSGSVCS,CLINICAL,IVSV,AIDESV,SWSV,PTSV,OTSV,SPSV,SPLYSV,NSGPOOL,POOLAIDE,HHASV,HHANO,HOSNO,HPBEDS,HRBEDS,EXPIRES,JCAHO,RJCAHO,ACHC,CARF,NARRAL,ACCHC,NHCC,PPH,CHAP,OTHERA
"Native Angels HomeCare Agency, Inc.","201 East Livermore Drive","Pembroke","NC","28372-","(910)735-1541","Robeson","HC","201 East Livermore Drive","Pembroke","NC","28372-","Native Angels HomeCare Agency, Inc.","HC1960",F,"010105",F,F,T,F,F,T,T,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"Personal Assist Homecare of North Carolina","2202 North Pine Street","Lumberton","NC","28358-","(910)739-3900","Robeson","HC","2202 North Pine Street","Lumberton","NC","28358-","Doris Locklear","HC3978",F,"091041",F,F,T,F,F,F,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"Rennert Home","P.O. Box 398","Shannon","NC","28386-","(910)843-1997","Robeson","HC","130 South Main Street","Red Springs","NC","28376-","W & B Health Care, Inc.","HC2835",F,"041199",F,F,T,F,F,F,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,T,F,F,F,F,F,F,F,F,F
"Righteous Home Care Services, Inc.","231 North 5th Street","St. Pauls","NC","28384-","(910)865-3150","Robeson","HC","231 North 5th Street","St. Pauls","NC","28384-","Righteous Home Care Services, Inc.","HC3040",F,"050472",F,F,T,F,F,F,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"Robeson County Home Health Agency","460 Country Club Road","Lumberton","NC","28360-","(910)671-3236","Robeson","HC","460 Country Club Road","Lumberton","NC","28360-","Robeson County Health Department","HC0526",F,"944107",F,F,T,F,F,T,F,T,T,T,T,T,T,F,F,F,T,"347086","",0,0,12/31/2018,F,F,T,F,F,F,F,F,F,F
"Sandhills Home Care","P.O. Box 1447","Carthage","NC","28327-","(910)690-0582","Robeson","HC","401 E. 3rd St., Unite 3C","Pembroke","NC","28372-","Sandhills Home Care, LLC","HC4426",F,"110557",F,F,T,F,F,F,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"Southeastern Behavioral Home Care Services, Inc.","PO Box 1004","Lumberton","NC","28359-1004","(910)739-0060","Robeson","HC","3573 Lackey Street","Lumberton","NC","28360-9048","Southeastern Behavioral Home Care Services, Inc.","HC3112",F,"050818",F,F,T,F,F,F,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"Southeastern Home Health","2002 North Cedar Street","Lumberton","NC","28358","(910)671-5600","Robeson","HC","2002 North Cedar Street, Suite B","Lumberton","NC","28358","Southeastern Regional Medical Center","HC0235",F,"953793",F,F,T,F,F,T,T,T,T,T,T,T,T,F,F,F,T,"347118","",0,0,12/31/2018,T,F,T,F,F,T,F,F,F,F
"Tender Hearts","P.O. Box 1965","Pembroke","NC","28372-","(910)522-1145","Robeson","HC","518 Union Chapel Road","Pembroke","NC","28372-","Sherry Oxendine","HC4514",F,"120037",F,F,T,F,F,F,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"We Care For You Home Care Corporation","1548 NC Hwy 211 West","Lumberton","NC","28360-","(910)735-0500","Robeson","HC","1548 NC Hwy 211 West","Lumberton","NC","28360-","Anissa Emanuel-Bullard","HC1961",F,"010113",F,F,T,F,T,F,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"Advanced Home Care, Inc.","P. O. Box 18049","Greensboro","NC","27419-8049","(336)616-1955","Rockingham","HC","8380 NC Route 87","Reidsville","NC","27320-","Advanced Home Care, Inc.","HC0217",F,"943602",F,F,T,F,F,T,F,T,T,T,T,T,T,F,F,F,T,"347121","",0,0,12/31/2018,F,F,T,F,F,F,F,F,F,F
"Aging Disability &Transit Services of Rockingham County","P. O. Box 1915","Reidsville","NC","27320-","(336)349-2343","Rockingham","HC","105 Lawsonville Avenue","Reidsville","NC","27323-","Aging Disability&Transit Services of Rockingham County","HC0785",F,"944108",F,F,T,F,F,F,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,T,F,F,T,F,F,F,F
"Carolina Apothecary","P.O. Box 29","Reidsville","NC","27323-0029","(336)342-0071","Rockingham","HC","726 S. Scales Street","Reidsville","NC","27320-","Carolina Apothecary, Inc.","HC3971",F,"091018",F,F,T,F,F,F,T,F,F,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,T,F,F,F,F,F,F,F
"Champion Home Care Agency","1410 Millgate Drive","Winston-Salem","NC","27103-","(336)342-0031","Rockingham","HC","1203 Northup Street, Suite C","Reidsville","NC","27320-","Champion Family Healthcare Services, LLC","HC4804",F,"150461",F,F,T,F,F,F,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,T
"Community Christian Business, LLC","P.O. Box 760","Stoneville","NC","27048-","(336)644-3579","Rockingham","HC","302 N 2nd Avenue","Mayodan","NC","27027-","Community Christian Business, LLC","HC4301",F,"110076",F,F,T,F,F,F,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"Continuum Home Care of Madison","1721 Bald Hill Loop","Madison","NC","27025-9578","(336)548-9658","Rockingham","HC","1721 Bald Hill Loop","Madison","NC","27025-9578","Continuum II Home Care & Hospice, Inc.","HC1213",F,"955271",F,F,T,F,F,T,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"Royalty Adult & Pediatric Home Care","P.O. Box 66","Eden","NC","27289-0066","(336)623-2547","Rockingham","HC","234-B East Meadow Road","Eden","NC","27288-","Royalty Heath & Wellness Resources, P.C.","HC4644",F,"130597",F,F,T,F,F,T,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"Shipman Family Home Care, Inc.","1614 East Market Street","Greensboro","NC","27401-","(336)342-0700","Rockingham","HC","232 Gilmer Street Suite 209","Reidsville","NC","27320-","Shipman Family Home Care, Inc.","HC2257",F,"021264",F,F,T,F,F,F,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"Advanced Home Care, Inc.","P.O. Box 18049","Greensboro","NC","27419-8049","(704)639-1060","Rowan","HC","1406-B West Innes Street","Salisbury","NC","28144-","Advanced Home Care, Inc.","HC0399",F,"923883",F,F,T,F,F,T,F,T,T,T,T,T,T,F,F,F,T,"347116","341505",0,0,12/31/2018,F,F,T,F,F,F,F,F,F,F
"Ally Home Care","301 S. Main Street","Salisbury","NC","28144-","(704)603-4235","Rowan","HC","301 S. Main Street; Suite 120","Salisbury","NC","28144-","Ally Home Care Salisbury, LLC","HC4534",F,"120143",F,F,T,F,F,F,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"Angels At Heart Home Care","140 Kent Road","Salisbury","NC","28147-","(704)762-9364","Rowan","HC","1114 South Main Street","China Grove","NC","28023-","Angels At Heart Home Care","HC4649",F,"140051",F,F,T,F,F,F,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"BAYADA Home Health Care, Inc.","130 North Arlington Street","Salisbury","NC","28144-","(704)797-2393","Rowan","HC","130 North Arlington Street; Suite B","Salisbury","NC","28144-","BAYADA Home Health Care, Inc.","HC1969",F,"010160",F,F,T,F,T,T,F,T,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,T,F
"BAYADA Home Health Care, Inc.","103 Dorsett Drive","Salisbury","NC","28144-","(704)633-7213","Rowan","HC","103 Dorsett Drive; Suite 300","Salisbury","NC","28144-","BAYADA Home Health Care, Inc.","HC0357",F,"933834",F,F,T,F,F,T,F,T,T,T,T,T,T,F,F,F,T,"347325","",0,0,12/31/2018,F,F,F,F,F,F,F,F,T,F
"BAYADA Home Health Care, Inc.","130 North Arlington Street","Salisbury","NC","28144-","(704)797-8000","Rowan","HC","130 North Arlington Street; Suite A","Salisbury","NC","28144-","BAYADA Home Health Care, Inc.","HC3707",F,"070554",F,F,T,F,T,T,F,T,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,T,F,F,F,F,F,F
"Comfort Keepers #186","512 Klumac Road","Salisbury","NC","28144-","(704)630-0370","Rowan","HC","512 Klumac Road; Suite 9","Salisbury","NC","28144-","Eldercare Solutions, Inc.","HC2487",F,"040114",F,F,T,F,F,T,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"DBV's, Inc.","104-A East Victoria Court","Greenville","NC","27834-","(252)227-4134","Rowan","HC","120 N. Main Street; Suite 201-A","Salisbury","NC","28144-","DBV's, Inc.","HC4979",F,"180050",F,F,T,F,F,F,F,T,F,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"Diverse Care Services","P.O. Box 654","Mount Ulla","NC","28125-","(704)664-5557","Rowan","HC","1275 Relative Road","Mount Ulla","NC","28125-","Cynthia Louise McCoy","HC4429",F,"110560",F,F,T,F,F,F,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"Home Instead Senior Care","1839 Jake Alexander Blvd., W","Salisbury","NC","28147-","(704)636-2010","Rowan","HC","1839 Jake Alexander Blvd., W; Suite A","Salisbury","NC","28147-","Jaycare Corporation","HC4000",F,"100061",F,F,T,F,F,F,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"Kindred at Home","12900 Foster Street, Suite 400","Overland Park","KS","66213-2696","(704)933-1001","Rowan","HC","201 Security Street","Kannapolis","NC","28083-2757","Gentiva Certified HealthCare Corp.","HC0270",F,"924044",F,F,T,F,F,T,F,T,T,T,T,T,T,F,F,F,T,"347170","",0,0,12/31/2018,F,F,F,F,F,F,F,F,T,F
"Kindred at Home","12900 Foster Street, Suite  400","Overland Park","KS","66213-2696","(704)636-3334","Rowan","HC","1834 West Jake Alexander Blvd., Suite 503","Salisbury","NC","28147-1135","Total Care Home Health of North Carolina, LLC","HC0265",F,"924174",F,F,T,F,F,T,F,T,T,T,T,T,T,F,F,F,T,"34Q7318003","",0,0,12/31/2018,F,F,F,F,F,F,F,F,T,F
"Maxim Healthcare Services, Inc.","7227 Lee DeForest Dr","Columbia","MD","21046-","(704)638-0025","Rowan","HC","330 Jake Alexander Blvd. West, Ste 102","Salisbury","NC","28147-","Maxim Healthcare Services, Inc.","HC2970",F,"050190",F,F,T,F,F,T,F,T,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,T,F,F,F,F,F,F,F
"Personal Touch Care Team, Inc.","137 Jennings Road, Suite B","Stateville","NC","28625-","(704)630-0088","Rowan","HC","1909 Jake Alexander Blvd. W","Salisbury","NC","28147-","Personal Touch Care Team, Inc.","HC3353",F,"060266",F,F,T,F,T,T,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"Progressive Home Health","7013 Missionary Ridge Drive","Raleigh","NC","27610-","(919)694-6402","Rowan","HC","301 S. Main Street; Suite 135","Salisbury","NC","28144-","Progressive Healthcare & Counseling Services, Inc.","HC1088",F,"944282",F,F,T,F,F,F,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"Superior Home Care, Inc.","1408 North Long Street","Salisbury","NC","28144-","(704)647-9662","Rowan","HC","1408 North Long Street","Salisbury","NC","28144-","Superior Home Care, Inc.","HC3557",F,"061271",F,F,T,F,F,F,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"TenderHearted Home Care","225 N. Main Street","Salisbury","NC","28144-","(704)612-4132","Rowan","HC","225 N. Main Street; Suite 406","Salisbury","NC","28144-","Tender Hearted Home Care, LLC","HC4380",F,"110395",F,F,T,F,F,F,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"Trinity At Home, Inc.","820 Klumac Road","Salisbury","NC","28144-","(704)603-2776","Rowan","HC","820 Klumac Road","Salisbury","NC","28144-","Trinity At Home, Inc.","HC4693",F,"140423",F,F,T,F,F,T,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"Amazing Grace of WNC, LLC","838 Oakland Road","Forest City","NC","28043-","(828)287-5999","Rutherford","HC","838 Oakland Road","Spindale","NC","28160-","Brenda Hutchens/Owner","HC4206",F,"101067",F,F,T,F,F,F,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"Carolina Assisted Care","120 Wyoming Street","Spindale","NC","28160-","(828)287-0001","Rutherford","HC","120 Wyoming Street","Spindale","NC","28160-","Clifton Brisco Butler","HC2503",F,"040194",F,F,T,F,F,F,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"Carolina Home Care","P. O. Box 51266","Lafayette","LA","70505-1266","(828)245-3575","Rutherford","HC","2270 US Hwy. 74A Bypass Suite 345","Forest City","NC","28043-2434","North Carolina In-Home Partner-V, LLC","HC0186",F,"943662",F,F,T,F,F,T,F,F,T,T,T,T,T,F,F,F,T,"347169","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,T
"Claddaugh Home Care, Inc.","P.O. Box 519","Shelby","NC","28151-","(828)288-3833","Rutherford","HC","181 West Main Street","Spindale","NC","28160-","Claddaugh Home Care, Inc.","HC2271",F,"030017",F,F,T,F,F,T,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"Encompass Home Health of North Carolina","6688  N.  Central Expwy.","Dallas","TX","75206-3950","(828)286-9097","Rutherford","HC","431 S. Main Street, Suite 5","Rutherfordton","NC","28139-","CareSouth HHA Holdings of Western Carolina, LLC","HC0445",F,"954111",F,F,T,F,F,T,F,T,T,T,T,T,T,F,F,F,T,"34Q7044002","",0,0,12/31/2018,F,F,T,F,F,F,F,F,F,F
"Harris Home Care, Inc.","150 East Main Street","Forest City","NC","28043-","(828)245-5244","Rutherford","HC","150 East Main Street","Forest City","NC","28043-","Harris Home Care, Inc.","HC2839",F,"041217",F,F,T,F,F,F,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"ResCare HomeCare","834 Tyvola Road","Charlotte","NC","28217-","(828)245-8095","Rutherford","HC","420 South Broadway; Suite 102","Forest City","NC","28043-","CNC/Access, Inc.","HC1081",F,"923635",F,F,T,F,F,T,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"3HC","2402 Wayne Memorial Drive","Goldsboro","NC","27534-","(910)592-1421","Sampson","HC","1023 Beaman Street","Clinton","NC","28328-2343","Home Health and Hospice Care, Inc.","HC0255",F,"923842",F,F,T,T,F,T,F,T,T,T,T,T,T,F,T,F,T,"347104","341551",0,0,12/31/2018,F,F,F,F,F,F,F,F,T,F
"A Brighter Future Healthcare Services Inc","225 Forest Creek Drive","Fayetteville","NC","28303-","(910)321-6006","Sampson","HC","114 Lisbon Street","Clinton","NC","28303-","A Brighter Future Healthcare Svs. Inc.","HC3286",F,"051510",F,F,T,F,F,F,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,T,F,F,F,F,F,F
"A Primary Choice, Inc.","P.O. Box 159","Saint Pauls","NC","28384-","(910)590-3177","Sampson","HC","830 College Street","Clinton","NC","28328-","A Primary Choice, Inc.","HC3602",F,"061445",F,F,T,F,F,F,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"Carolina Personal Care Agency, LLC","P.O. Box 1470","Clinton","NC","28329-","(910)590-2480","Sampson","HC","916 South East Blvd.","Clinton","NC","28328-","Carolina Personal Care Agency, LLC","HC2980",F,"050242",F,F,T,F,F,F,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"Community Home Care  and Hospice","P.O. Box 4060","Mooresville","NC","28117-","(910)551-5061","Sampson","HC","109 W Main Street, Suite B","Clinton","NC","28328-4046","Community Home Care of Robeson County, LLC","HC4030",F,"100142",F,F,T,T,F,F,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"Community Home Care and Hospice","P.O. Box 4060","Mooresville","NC","28117-","(910)592-7322","Sampson","HC","109 West Main Street; Suite A","Clinton","NC","28328-4046","Carrolton Home Care, LLC","HC1844",F,"000174",F,F,T,T,F,F,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,T,F,F,F,F,F,F,F
"Devine Home Care, LLC","513 Raleigh Road","Clinton","NC","28328-","(910)990-6335","Sampson","HC","513 Raleigh Road","Clinton","NC","28328-","Devine Home Care, LLC","HC4240",F,"101168",F,F,T,F,F,F,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"Infinity Health Care Services, Inc.","118 E. Elizabeth Street","Clinton","NC","28328-","(910)592-0006","Sampson","HC","118 E. Elizabeth Street","Clinton","NC","28328-","Infinity Health CareServices, Inc.","HC4084",F,"100451",F,F,T,F,F,F,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"Inomancy Home Care, Inc.","206 McKoy Street","Clinton","NC","28328-","(910)299-0754","Sampson","HC","206 McKoy Street","Clinton","NC","28328-","Inomancy Home Care, Inc.","HC4460",F,"110842",F,F,T,F,F,F,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,T,F,T,F,F,F,F,F,F,F
"Interim HealthCare","P. O. Box 2249","Whiteville","NC","28472-7249","(910)592-9011","Sampson","HC","210 McKoy Street","Clinton","NC","28328-","Interim HealthCare of the Eastern Carolinas, Inc.","HC0920",F,"943919",F,F,T,F,T,T,F,T,T,T,T,T,T,F,T,T,F,"","",0,0,12/31/2018,T,F,F,F,F,F,F,F,F,F
"Rotech","3600 Vineland Road","Orlando","FL","32811-","(910)592-2835","Sampson","HC","201 Northeast Blvd; Suite D","Clinton","NC","28328-","Sampson Convalescent Medical Supply, Inc.","HC1895",F,"000449",F,F,T,F,F,F,T,F,F,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,T,F,F,F,F,F,F,F,F,F
"Sampson County Department of Aging-In-Home Services","405 County Complex Road","Clinton","NC","28328","(910)592-4653","Sampson","HC","405 County Complex Road; Suite 140","Clinton","NC","28328","Sampson County Department of Aging","HC0784",F,"944113",F,F,T,F,F,F,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,T,F,F,F,F
"Sampson Home Health","508 Beaman Street","Clinton","NC","28328-","(910)590-5312","Sampson","HC","508 Beaman Street","Clinton","NC","28328-","Sampson Regional Medical Center","HC0257",F,"944754",F,F,T,F,F,T,F,F,T,T,T,T,T,F,F,F,T,"347064","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,T
"United Home Care, Inc.","P.O. Box 446","Ahoskie","NC","27910-","(910)590-3334","Sampson","HC","421 Warsaw Road","Clinton","NC","28328-","United Home Care, Inc.","HC3497",F,"061053",F,F,T,F,F,F,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"A Primary Choice Inc","P.O. Box 159","St. Pauls","NC","28384-","(910)277-0001","Scotland","HC","1777A South Main Street","Laurinburg","NC","28352-","A Primary Choice, Inc.","HC4396",F,"110466",F,F,T,F,F,F,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"Carolina Hearts Home Care, LLC","801 South Main Street","Laurinburg","NC","28352-","(910)277-2505","Scotland","HC","801 South Main Street","Laurinburg","NC","28352-","Brigitte Veater Laney","HC3240",F,"051398",F,F,T,F,F,F,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"HealthKeeperz","P. O. Box 1030","Pembroke","NC","28372-","(910)277-2484","Scotland","HC","700 Progress Place, Suite C","Laurinburg","NC","28352-","HealthKeeperz, Inc.","HC0403",F,"954117",F,F,T,F,F,T,T,T,T,T,T,T,T,F,F,F,T,"347061","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"Impact Home Care Services","P.O. Box 2076","Laurinburg","NC","28353-2076","(910)276-4644","Scotland","HC","213 West Cronly Street","Laurinburg","NC","28352-","LaShonda Swindell","HC2556",F,"040580",F,F,T,F,F,F,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"Rainbow 66 Storehouse Home Care","1225 S. Caledonia Road","Laurinburg","NC","28352-","(910)276-0766","Scotland","HC","1225 S. Caledonia Road","Laurinburg","NC","28352-","Rainbow 66 Storehouse, Inc. Diversity with Destiny","HC2475",F,"031250",F,F,T,F,F,F,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"Scotland Regional Hospice","P O Box 1033","Laurinburg","NC","28353-","(910)276-7176","Scotland","HC","610 Lauchwood Drive","Laurinburg","NC","28352-","Hospice of Scotland County","HC0401",F,"953885",F,F,T,F,F,T,T,T,T,F,T,T,T,F,F,F,F,"","341555",0,0,12/31/2018,F,F,T,F,F,F,F,F,F,F
"Adult and Pediatric Specialists","P. O. Box 9004","Clearwater","FL","33758-9004","(704)986-4342","Stanly","HC","746-A2 N. 2nd Street","Albemarle","NC","28001-","Lincare, Inc.","HC1893",F,"000436",F,F,T,F,F,F,T,F,F,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"Alliance Health and Homecare, LLC","1710 Trotters Ridge Road","Stanfield","NC","28163-","(704)983-0959","Stanly","HC","1919 W. Main Street","Albemarle","NC","28001-","Alliance Health and Homecare, LLC","HC4366",F,"110343",F,F,T,F,F,T,F,T,T,F,T,T,F,F,F,F,F,"","",0,0,12/31/2018,F,F,T,F,F,F,F,F,F,F
"Alpha Health Services","1118 Crooked River Drive","Waxhaw","NC","28173-","(704)512-0162","Stanly","HC","710 N. 2nd Street","Albemarle","NC","28001-","Divine Health Consultants, LLC","HC4586",F,"120638",F,F,T,F,F,T,F,F,F,T,T,T,T,F,F,F,F,"","",0,0,12/31/2018,F,F,T,F,F,F,F,F,F,F
"BAYADA Home Health Care, Inc.","731 North Second Street, Suite C","Albemarle","NC","28001-","(704)982-7070","Stanly","HC","731 North Second Street, Suite C","Albemarle","NC","28001-","BAYADA Home Health Care, Inc.","HC3281",F,"051508",F,F,T,F,T,T,F,T,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,T,F
"Elite Care Services, Inc.","P.O. Box 181","Badin","NC","28009-","(704)982-4068","Stanly","HC","2000-D West Main Street","Albemarle","NC","28001-","Elite Care, Inc.","HC3940",F,"090914",F,F,T,F,F,F,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,T,F,F,F,F,F,F
"Healthy @ Home - Albemarle","P O Box 602259","Charlotte","NC","28260-2259","(704)982-2273","Stanly","HC","901 North Second Street","Albemarle","NC","28001-","Carolinas Medical Center at Home, LLC","HC0308",F,"953825",F,F,T,F,F,T,F,T,T,T,T,T,T,F,F,F,T,"347113","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,T
"Healthy@Home-Stanly HME","P.O. Box 32861","Albemarle","NC","28232-","(980)323-5280","Stanly","HC","907 North Second Street; Suite A","Albemarle","NC","28001-","Carolinas Medical Center at Home, LLC","HC4898",F,"170245",F,F,T,F,F,F,T,F,F,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"ResCare Home Care","834 Tyvola Road","Charlotte","NC","28217-","(704)984-6122","Stanly","HC","731 North 2nd  Street; Suite A,","Albemarle","NC","28001-","CNC / Access, Inc.","HC1322",F,"956204",F,F,T,F,T,T,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"Stanly County Home Health Agency","1000 North First Street","Albemarle","NC","28001","(704)982-1141","Stanly","HC","1000 North First Street, Suite 3","Albemarle","NC","28001","7Stanly County Health Department","HC0514",F,"954139",F,F,T,F,F,T,F,T,T,T,T,T,T,F,F,F,T,"347071","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"TLC At Home","2211 W. Main Street","Albemarle","NC","28001-","(704)986-4852","Stanly","HC","2211 W. Main Street","Albemarle","NC","28001-","Eudy Properties & Services, Inc.","HC3143",F,"050935",F,F,T,F,F,F,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"Kindred at Home","12900 Foster, Suite 400","Overland Park","KS","66213-2696","(336)983-2110","Stokes","HC","621 Ingram Drive","King","NC","27021-9438","Capital CareResources, LLC","HC1699",F,"980843",F,F,T,F,F,T,F,T,T,T,T,T,T,F,F,F,T,"347330","",0,0,12/31/2018,F,F,F,F,F,F,F,F,T,F
"Kindred at Home","12900 Foster; Suite 400","Overland Park","KS","66213-2696","(   )   -","Stokes","HC","3169 NC 8 Highway South; Suite 201","Walnut Cove","NC","27052-5693","Capital Care Resources, LLC","HC0517",F,"954141",F,F,T,F,F,T,F,T,T,F,T,T,T,F,F,F,T,"34Q733001","",0,0,12/31/2018,F,F,F,F,F,F,F,F,T,F
"Stokes County Department of Social Services","P. O. Box 30","Danbury","NC","27016-","(336)593-2861","Stokes","HC","1010 Main Street","Danbury","NC","27016-","Stokes County Department of Social Services","HC1116",F,"944436",F,F,T,F,F,F,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"Aerocare","3325 Bartlett Blvd.","Orlando","FL","32811-","(336)786-1410","Surry","HC","186 W. Independence Blvd.","Mount Airy","NC","27030-","Aerocare Holdings, Inc.","HC4772",F,"150252",F,F,T,F,F,F,T,F,F,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,T,F,F,F,F,F,F,F
"BAYADA Home Health Care, Inc.","1804  North Bridge Street","Elkin","NC","28621-","(336)835-8500","Surry","HC","1804 North Bridge Street","Elkin","NC","28621-","BAYADA Home Health Care, Inc.","HC3289",F,"060030",F,F,T,F,T,T,F,T,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,T,F
